Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,SalePrice
CollgCr,VinylSd,2003,65.0,1710,548,208500
Other,Other,1976,80.0,1262,460,181500
CollgCr,VinylSd,2001,68.0,1786,608,223500
Other,Other,1915,60.0,1717,642,140000
Other,VinylSd,2000,84.0,2198,836,250000
Other,VinylSd,1993,85.0,1362,480,143000
Other,VinylSd,2004,75.0,1694,636,307000
Other,HdBoard,1973,,2090,484,200000
OldTown,Other,1931,51.0,1774,468,129900
Other,Other,1939,50.0,1077,205,118000
Other,HdBoard,1965,70.0,1040,384,129500
Other,Other,2005,85.0,2324,736,345000
Other,HdBoard,1962,,912,352,144000
CollgCr,VinylSd,2006,91.0,1494,840,279500
NAmes,Other,1960,,1253,352,157000
Other,Other,1929,51.0,854,576,132000
NAmes,Other,1970,,1004,480,149000
Other,Other,1967,72.0,1296,516,90000
Other,VinylSd,2004,66.0,1114,576,159000
NAmes,Other,1958,70.0,1339,294,139000
Other,VinylSd,2005,101.0,2376,853,325300
Other,Other,1930,57.0,1108,280,139400
CollgCr,VinylSd,2002,75.0,1795,534,230000
Other,Other,1976,44.0,1060,572,129900
Other,Other,1968,,1060,270,154000
Other,VinylSd,2007,110.0,1600,890,256300
NAmes,Other,1951,60.0,900,576,134800
Other,VinylSd,2007,98.0,1704,772,306000
NAmes,Other,1957,47.0,1600,319,207500
Other,Other,1927,60.0,520,240,68500
Other,Other,1920,50.0,1317,250,40000
Other,HdBoard,1966,,1228,271,149350
CollgCr,VinylSd,2007,85.0,1234,484,179900
NAmes,Other,1959,70.0,1700,447,165500
Other,Other,2005,60.0,1561,556,277500
Other,VinylSd,2004,108.0,2452,691,309000
CollgCr,VinylSd,1994,112.0,1097,672,145000
NAmes,Other,1954,74.0,1297,498,153000
NAmes,,1953,68.0,1057,246,109000
Edwards,,1955,65.0,1152,0,82000
NAmes,Other,1965,84.0,1324,440,160000
Other,VinylSd,1959,115.0,1328,308,170000
Other,HdBoard,1983,,884,504,144000
CollgCr,VinylSd,1975,,938,308,130250
NAmes,Other,1959,70.0,1150,300,141000
Other,Other,2005,61.0,1752,576,319900
Other,VinylSd,2003,48.0,2149,670,239686
Other,VinylSd,2006,84.0,1656,826,249700
OldTown,Other,1920,33.0,1452,0,113000
Other,HdBoard,1966,66.0,955,386,127000
Other,VinylSd,1997,,1470,388,177000
Other,Other,1934,52.0,1176,528,114500
Other,Other,1963,110.0,816,516,110000
Other,,1981,68.0,1842,894,385000
NAmes,Other,1955,60.0,1360,572,130000
NAmes,HdBoard,1964,100.0,1425,576,180500
Other,Other,1999,24.0,1739,480,172500
CollgCr,VinylSd,2004,89.0,1720,565,196500
Other,VinylSd,2006,66.0,2945,641,438780
CollgCr,HdBoard,1972,60.0,780,352,124900
Other,VinylSd,2004,63.0,1158,576,158000
Other,Other,1920,60.0,1111,288,101000
Other,VinylSd,2006,44.0,1370,484,202500
OldTown,Other,1921,50.0,1710,480,140000
